id,producto,categoria,precio_costo,precio_venta,stock_actual,stock_minimo,ultima_venta
1,Aceite 5W30 4L,Aceites,120,350,26,8,2024-09-05
2,Aceite 10W40 4L,Aceites,110,320,34,6,2024-08-07
3,Filtro de aceite universal,Filtros,35,80,60,16,2024-08-11
4,Filtro de aire universal,Filtros,40,95,60,15,2024-06-02
5,Filtro de cabina,Filtros,50,120,28,10,2024-08-25
6,Pastillas de freno delanteras,Frenos,180,450,41,11,2024-07-28
7,Pastillas de freno traseras,Frenos,150,380,32,10,2024-09-24
8,Disco de freno delantero,Frenos,250,600,35,6,2024-08-18
9,Disco de freno trasero,Frenos,210,520,32,6,2024-07-02
10,Bujia iridium,Motor,65,150,36,13,2024-08-27
11,Correa de distribucion,Motor,140,350,20,5,2024-07-19
12,Correa auxiliar,Motor,85,200,18,6,2024-07-20
13,Amortiguador delantero,Suspension,350,800,15,4,2024-08-09
14,Amortiguador trasero,Suspension,320,750,16,4,2024-06-04
15,Brazo de suspension,Suspension,230,550,21,3,2024-09-14
16,Bateria 60Ah,Electrico,500,1200,14,2,2024-08-05
17,Bateria 100Ah,Electrico,750,1800,16,2,2024-07-28
18,Llanta 195/65R15,Llantas,450,850,25,5,2024-06-06
19,Llanta 205/55R16,Llantas,600,1100,14,3,2024-09-23
20,Llanta 225/45R17,Llantas,800,1500,23,2,2024-06-25
21,Refrigerante 4L,Climatizacion,100,280,23,6,2024-08-05
22,Gas Refrigerante R134a,Climatizacion,150,400,9,4,2024-06-13
23,Aceite de transmision ATF,Transmision,95,250,22,7,2024-09-07
24,Filtro de transmision,Transmision,120,300,22,3,2024-08-08
